id,Typologie cadeau,Cadeau,Lien,Tranche d'âge,Budget cible,Occasion,activités / centres d'intérêts,Relation,Personnalité / Préférences,Genre
13,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Armoire-Cuisine/dp/B00B2IIR3G/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle&s=toys&sr=1-4,12 - 18 ans,5 - 20 €,Anniversaire,Jeux de société,Famille,Aime les défis,Mixte
14,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-%C3%89toil%C3%A9e-Pi%C3%A8ces/dp/B0029QB53E/ref=sr_1_15?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle&s=toys&sr=1-15,60 ans + ,20 - 35 €,Noël,Jeux de société,Famille,Aime les activités relaxantes,Mixte
15,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-%C3%89toil%C3%A9e-Pi%C3%A8ces/dp/B0029QB53E/ref=sr_1_15?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle&s=toys&sr=1-15,60 ans + ,20 - 35 €,Anniversaire,Jeux de société,Famille,Aime les défis,Mixte
16,Activité,SPA pour 2,,28 - 40 ans,100 € +,Mariage,Détente,Mixte,N/A,Mixte
17,Vêtement,Sweat,https://www.zalando.fr/tommy-hilfiger-essential-unisex-sweatshirt-white-to126k01p-a11.html,12 - 18 ans,50 - 75 €,Noël,Marques,Famille,S'habiller décontracté,Garçon
18,Vêtement,Sweat,https://www.zalando.fr/jack-and-jones-jorhide-crew-neck-sweatshirt-oatmeal-ja222s165-b11.html,18 - 28 ans,35 - 50 €,Anniversaire,Sport,Amis,S'habiller décontracté,Garçon
19,Vêtement,Sweat,https://www.zalando.fr/jack-and-jones-jorhide-crew-neck-sweatshirt-oatmeal-ja222s165-b11.html,18 - 28 ans,35 - 50 €,Saint-Valentin,Voyager,Amoureux,S'habiller décontracté,Garçon
20,Vêtement,Chemise,https://www.zalando.fr/mango-chemise-khaki-m9122d2g1-n11.html,18 - 28 ans,35 - 50 €,Anniversaire,Mode,Amis,Aime bien s'habiller,Garçon
21,Vêtement,Chemise,https://www.zalando.fr/mango-chemise-khaki-m9122d2g1-n11.html,18 - 28 ans,35 - 50 €,Noël,Mode,Amis,Aime bien s'habiller,Garçon
22,Vêtement,Chemise,https://www.zalando.fr/mango-chemise-khaki-m9122d2g1-n11.html,18 - 28 ans,35 - 50 €,Saint-Valentin,Mode,Amis,Aime bien s'habiller,Garçon
23,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,28 - 40 ans,50 - 75 €,Anniversaire,Mode,Amis,Aime bien s'habiller,Garçon
24,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,28 - 40 ans,50 - 75 €,Noël,Mode,Amis,Aime bien s'habiller,Garçon
25,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,28 - 40 ans,50 - 75 €,Saint-Valentin,Mode,Amis,Aime bien s'habiller,Garçon
26,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,40 - 50 ans,50 - 75 €,Noël,Mode,Amis,Aime bien s'habiller,Garçon
